"variable","conditions","pulse","max_zscore","mean_z_score","max_value","mean_value","odorant","short_cond_names"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.515364923444966,-0.0124323963608208,1.00394154262908,0.999276285272595,"water 1","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.252332490695251,0.361894230701785,1.00166588260046,1.00455361963532,"water 1","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.0220081810846342,-0.169986642417729,1.00007140230383,0.998910434123093,"water 1","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.52531403900186,-0.197846009437336,0.99628242103082,0.998114552843091,"water 1","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.281401635815934,0.314419150434407,1.00225897053699,1.00374623883747,"water 1","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.0211064778558029,-0.404006824423898,1.0005043412708,0.997994969444905,"water 1","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.283814084556746,-0.0448860446797413,0.998448895649511,1.00030434914481,"water 1","DmOR43a_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.138677406218799,0.320907493969152,1.00050168284405,1.00273764838565,"water 1","DmOR43b_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",-0.626572884631012,-0.196107548747179,0.99536061328249,0.999126843810965,"water 1","DmOR43b_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.2078092946093,-0.0968259405330877,0.998173931711628,0.998545576832766,"water 1","DmOR43b_M_3"
"14","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.202059735380109,0.282093596839657,1.00121703505168,1.00310387828159,"water 1","DmOR43b_M_3"
"14","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.235695738094185,-0.34083518422078,1.00144901557302,0.997474999292079,"water 1","DmOR43b_M_3"
"14","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.423418585149484,0.0881768666698491,1.00274370104142,1.00014425700076,"water 1","DmOR43b_M_3"
"15","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.0406927823840313,0.287893168438748,0.999994031675902,1.00258936818034,"water 1","DmOR43b_M_3"
"15","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",-0.417561842761517,-0.209101146677162,0.996858770695997,0.998678631953949,"water 1","DmOR43b_M_3"
"15","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.512010598393434,-0.019338781121232,1.00321866766773,0.999652038160883,"water 1","DmOR43b_M_3"
"16","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.168541099686018,0.232238145437295,1.00080561516406,1.00277057683869,"water 1","DmOR43b_M_3"
"16","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.409569854980338,-0.257593273725988,1.00259026738817,0.997776655462672,"water 1","DmOR43b_M_3"
"16","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.548078915823054,0.214477498107158,1.00361583175782,1.00105144824425,"water 1","DmOR43b_M_3"
"17","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.385277627842947,0.421574148863576,1.002742086073,1.0047431504213,"water 1","DmOR43b_M_3"
"17","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",-0.348696984975006,-0.257089593234594,0.997818101147702,0.998584562197139,"water 1","DmOR43b_M_3"
